MVS0409.02L DateCode 03/26 SIGMA 100 Measurements per MVS #1
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
12,90,851,204,261,0,0,0
13,71,822,204,259,0,0,0
14,56,841,204,272,0,0,0
15,56,835,204,261,0,0,0
16,63,843,204,266,0,0,0
17,64,801,204,266,0,1,1
18,72,769,204,263,0,0,0
19,80,804,204,256,0,0,0
20,64,794,204,265,0,0,0
21,70,799,204,256,0,0,0
22,28,826,204,286,0,0,0
23,47,808,204,289,0,0,0
24,41,787,204,255,0,0,0
25,76,822,204,257,0,0,0
26,90,855,204,266,0,1,1
27,48,840,204,277,0,0,0
28,31,854,204,279,0,0,0
29,69,839,204,238,0,1,1
30,75,868,204,268,0,0,0
31,88,787,204,265,0,1,1
32,77,795,204,264,0,1,1
33,75,848,204,252,0,0,0
34,82,821,204,264,0,0,0
35,61,807,204,265,0,0,0
36,63,813,204,263,0,0,0
37,86,734,204,266,0,1,1
38,50,852,204,264,0,0,0
39,82,817,204,268,0,0,0
40,96,773,204,249,0,1,1
41,62,801,204,265,0,0,0
42,61,870,204,248,0,0,0
43,41,874,204,265,0,0,0
44,99,855,204,254,0,1,1
45,106,872,204,267,0,1,1
46,70,848,204,254,0,0,0
47,87,843,204,262,0,1,1
48,51,845,204,262,0,0,0
49,80,799,204,263,0,1,1
50,45,847,204,263,0,0,0
51,56,847,204,260,0,0,0
52,75,807,204,257,0,1,1
53,47,798,204,259,0,0,0
54,47,769,204,242,0,0,0
55,58,806,204,255,0,0,0
56,63,836,204,242,0,0,0
57,62,843,204,261,0,0,0
58,102,799,204,255,0,1,1
59,80,863,204,275,0,0,0
60,74,855,204,279,0,0,0
61,67,815,204,257,0,0,0
62,108,797,204,251,0,1,1
63,66,831,204,256,0,0,0
64,70,843,204,264,0,0,0
65,104,824,204,269,0,1,1
66,61,820,204,266,0,0,0
67,75,820,204,266,0,0,0
68,98,830,204,251,0,1,1
69,44,784,204,254,0,0,0
70,68,836,204,253,0,0,0
71,72,809,204,258,0,0,0
72,97,782,204,253,0,0,0
73,53,826,204,258,0,0,0
74,67,816,204,269,0,0,0
75,78,827,204,266,0,0,0
76,64,833,204,278,0,1,1
77,59,847,204,252,0,0,0
78,87,804,204,254,0,0,0
79,58,848,204,245,0,0,0
80,110,840,204,248,0,0,0
81,82,795,204,255,0,1,1
82,63,812,204,248,0,0,0
83,46,795,204,249,0,0,0
84,45,781,204,265,0,0,0
85,72,785,204,259,0,0,0
86,55,782,204,265,0,0,0
87,56,816,204,274,0,0,0
88,43,832,204,278,0,0,0
89,57,797,204,265,0,0,0
