MVS0724.02 | 100 Measurements per MVS #1
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
13,74,725,204,252,0,1,1
14,72,697,204,251,0,1,1
15,88,711,204,248,0,1,1
16,77,744,204,249,0,0,0
17,54,775,204,265,0,0,0
18,52,822,204,253,0,0,0
19,38,412,204,277,0,1,1
20,145,390,204,204,1,1,1
21,44,348,204,258,0,1,1
22,54,136,204,204,1,1,1
23,66,517,204,204,1,1,1
24,70,789,204,250,0,0,0
25,90,558,204,254,0,1,1
26,78,770,204,249,0,1,1
27,82,728,204,250,0,1,1
28,83,430,204,236,0,1,1
29,50,458,204,204,1,1,1
30,86,662,204,245,0,1,1
31,88,558,204,244,0,1,1
32,69,644,204,251,0,1,1
33,79,668,204,254,0,0,0
34,39,737,204,241,0,0,0
35,68,650,204,254,0,1,1
36,54,758,204,251,0,0,0
37,119,792,204,254,0,1,1
38,116,547,204,244,0,1,1
39,119,747,204,251,0,1,1
40,68,439,204,251,0,1,1
41,42,551,204,204,1,0,1
42,84,784,204,246,0,0,0
43,52,715,204,254,0,0,0
44,96,697,204,235,0,0,0
45,75,371,204,244,0,1,1
46,45,251,204,204,1,1,1
47,61,738,204,254,0,1,1
48,95,757,204,252,0,1,1
49,120,760,204,246,0,1,1
50,84,672,204,243,0,1,1
51,81,821,204,257,0,0,0
52,64,353,204,249,0,1,1
53,93,193,204,204,1,1,1
54,76,180,204,204,1,1,1
55,77,251,204,204,1,1,1
56,51,676,204,257,0,0,0
57,77,497,204,253,0,1,1
58,72,410,204,204,1,0,1
59,83,778,204,245,0,1,1
60,73,736,204,243,0,1,1
61,72,811,204,247,0,0,0
62,69,798,204,254,0,0,0
63,77,830,204,250,0,1,1
64,72,709,204,253,0,1,1
65,60,374,204,240,0,1,1
66,78,128,204,204,1,1,1
67,95,540,204,204,1,1,1
68,380,526,204,258,0,1,1
69,196,647,204,205,1,1,1
70,70,748,204,251,0,1,1
71,63,710,204,256,0,1,1
72,82,771,204,248,0,1,1
73,67,801,204,247,0,0,0
74,91,788,204,254,0,0,0
75,135,718,204,256,0,1,1
76,81,758,204,247,0,1,1
77,50,795,204,249,0,0,0
78,70,827,204,250,0,1,1
79,94,840,204,256,0,0,0
80,49,812,204,255,0,0,0
81,57,756,204,256,0,0,0
82,24,697,204,253,0,0,0
83,66,661,204,248,0,0,0
84,82,687,204,255,0,1,1
85,106,769,204,254,0,1,1
86,90,783,204,241,0,0,0
87,96,714,204,253,0,1,1
88,61,793,204,250,0,0,0
89,66,755,204,254,0,0,0
90,80,572,204,257,0,1,1
91,85,678,204,233,0,1,1
92,106,676,204,233,0,1,1
93,89,577,204,277,0,1,1
94,47,454,204,204,1,0,1
95,42,311,204,237,0,1,1
96,62,543,204,204,1,1,1
97,120,556,204,245,0,1,1
98,86,477,204,204,1,0,1
99,62,771,204,243,0,0,0
100,85,806,204,248,0,0,0
MVS0724.02 | 100 Measurements per MVS  #7
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,60,740,204,252,0,0,0
2,48,787,204,243,0,0,0
3,121,515,204,242,0,1,1
4,61,738,204,255,0,0,0
5,77,741,204,204,1,1,1
6,96,731,204,249,0,1,1
7,45,741,204,256,0,1,1
8,68,707,204,253,0,1,1
9,76,644,204,248,0,1,1
10,152,742,204,243,0,1,1
11,125,734,204,243,0,0,0
12,85,566,204,254,0,1,1
13,47,801,204,256,0,0,0
14,73,754,204,240,0,0,0
15,85,603,204,255,0,1,1
16,38,790,204,255,0,0,0
17,107,453,204,256,0,1,1
18,104,316,204,204,1,1,1
19,68,789,204,256,0,0,0
20,56,783,204,255,0,0,0
