MVS0409.02L SIGMA 100 Measurements per MVS | MVS Nr.: 1
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
77,82,750,203,266,0,0,0
78,125,752,203,263,0,0,0
79,128,712,203,267,0,1,1
80,124,768,203,278,0,0,0
81,152,774,203,253,0,1,1
82,135,769,203,272,0,1,1
83,123,728,203,251,0,1,1
84,95,731,203,257,0,1,1
85,57,712,203,242,0,0,0
86,96,683,203,252,0,1,1
87,70,680,203,244,0,1,1
88,70,689,203,236,0,0,0
89,63,716,203,242,0,0,0
90,85,711,203,259,0,0,0
91,69,675,203,249,0,0,0
92,106,719,203,256,0,0,0
93,132,703,203,248,0,1,1
94,91,712,203,250,0,0,0
95,99,810,203,241,0,0,0
96,148,720,203,270,0,1,1
97,82,818,203,254,0,0,0
98,104,791,203,255,0,1,1
99,88,788,203,256,0,1,1
100,64,834,203,264,0,0,0
